id kategorie;Název kategorie;Celá cesta
2;Dalekohledy;Sport | Outdoorové vybavení | Dalekohledy
4;Digitální kompakty;Foto | Fotoaparáty a videokamery | Digitální fotoaparáty | Digitální kompakty
5;Digitální zrcadlovky;Foto | Fotoaparáty a videokamery | Digitální fotoaparáty | Digitální zrcadlovky
6;Digitální fotorámeèky;Foto | Foto doplòky a pøíslušenství | Rámeèky a fotoalba | Digitální fotorámeèky
7;Brašny a pouzdra pro foto a video;Foto | Foto doplòky a pøíslušenství | Ochrana fotoaparátù a videokamer | Brašny a pouzdra pro foto a video
9;Akumulátory k fotoaparátùm a videokamerám;Foto | Foto doplòky a pøíslušenství | Baterie a nabíjeèky pro fotoaparáty a videokamery | Akumulátory k fotoaparátùm a videokamerám
10;Blesky;Foto | Foto doplòky a pøíslušenství | Blesky
11;Objektivy;Foto | Foto doplòky a pøíslušenství | Objektivy
12;Pøedsádky, filtry a krytky;Foto | Foto doplòky a pøíslušenství | Pøedsádky, filtry a krytky
14;Stativy;Foto | Foto doplòky a pøíslušenství | Stativy a stativové hlavy | Stativy
17;Analogové fotoaparáty;Foto | Fotoaparáty a videokamery | Analogové fotoaparáty
18;Pamìové karty;Poèítaèe | Ukládání dat | Pamìové karty
22;Autorádia;Elektronika | TV a audio-video | Audio | Auto Hi-Fi | Autorádia
23;Reproduktory do auta;Elektronika | TV a audio-video | Audio | Auto Hi-Fi | Reproduktory do auta
24;Zesilovaèe do auta;Elektronika | TV a audio-video | Audio | Auto Hi-Fi | Zesilovaèe do auta
26;AV pøijímaèe;Elektronika | TV a audio-video | Audio | Hi-Fi komponenty | AV pøijímaèe
27;CD pøehrávaèe;Elektronika | TV a audio-video | Audio | Hi-Fi komponenty | CD pøehrávaèe
28;Gramofony;Elektronika | TV a audio-video | Audio | Hi-Fi komponenty | Gramofony
29;Mixání pulty;Elektronika | TV a audio-video | Audio | Hi-Fi komponenty | Mixání pulty
31;Tunery;Elektronika | TV a audio-video | Audio | Hi-Fi komponenty | Tunery
32;Hi-Fi zesilovaèe;Elektronika | TV a audio-video | Audio | Hi-Fi komponenty | Hi-Fi zesilovaèe
33;Hi-Fi systémy;Elektronika | TV a audio-video | Audio | Hi-Fi systémy
35;Mikrofony;Elektronika | TV a audio-video | Audio | Mikrofony
36;MP3 a MP4 pøehrávaèe;Elektronika | TV a audio-video | Audio | MP3 a MP4 pøehrávaèe
37;Diktafony;Elektronika | TV a audio-video | Audio | Diktafony
38;Radiomagnetofony;Elektronika | TV a audio-video | Audio | Radiomagnetofony
39;Radiopøijímaèe a radiobudíky;Elektronika | TV a audio-video | Audio | Radiopøijímaèe a radiobudíky
40;Reprosoustavy a reproduktory;Elektronika | TV a audio-video | Audio | Reprosoustavy a reproduktory
41;Sluchátka;Elektronika | TV a audio-video | Audio | Sluchátka
42;Optická média;Poèítaèe | Ukládání dat | Optická média
43;Digitální kamery;Foto | Fotoaparáty a videokamery | Digitální kamery
44;Domácí kina;Elektronika | TV a audio-video | Domácí kina
46;Satelitní antény;Elektronika | TV a audio-video | Satelitní technika | Satelitní antény
47;Satelitní komplety;Elektronika | TV a audio-video | Satelitní technika | Satelitní komplety
48;Satelitní pøijímaèe;Elektronika | TV a audio-video | Satelitní technika | Satelitní pøijímaèe
50;Multimediální centra;Elektronika | TV a audio-video | Multimediální centra
52;Lampy pro projektory;Elektronika | TV a audio-video | Projekèní technika | Lampy pro projektory
53;Projekèní plátna;Elektronika | TV a audio-video | Projekèní technika | Projekèní plátna
54;Projektory;Elektronika | TV a audio-video | Projekèní technika | Projektory
58;Televizory;Elektronika | TV a audio-video | Televizory
64;3D brıle;Elektronika | TV a audio-video | TV, video, audio pøíslušenství | 3D brıle
67;Dálkové ovladaèe;Elektronika | TV a audio-video | TV, video, audio pøíslušenství | Dálkové ovladaèe
68;Televizní stolky;Dùm, byt a zahrada | Nábytek | Obıvací pokoje | Televizní stolky
70;Stolní telefony;Telefony, navigace | Stolní telefony
71;Faxy;Telefony, navigace | Faxy
73;GPS navigace;Telefony, navigace | GPS | GPS navigace
74;Ostatní pøíslušenství pro GPS;Telefony, navigace | GPS | Pøíslušenství pro GPS | Ostatní pøíslušenství pro GPS
76;Baterie pro mobilní telefony;Telefony, navigace | Telefonní pøíslušenství | Baterie pro mobilní telefony
77;Handsfree;Telefony, navigace | Telefonní pøíslušenství | Handsfree
78;Ostatní pøíslušenství pro mobilní telefony;Telefony, navigace | Telefonní pøíslušenství | Ostatní pøíslušenství pro mobilní telefony
79;Nabíjeèky pro mobilní telefony a tablety;Telefony, navigace | Telefonní pøíslušenství | Nabíjeèky pro mobilní telefony a tablety
80;Pouzdra na mobilní telefony;Telefony, navigace | Telefonní pøíslušenství | Pouzdra na mobilní telefony
81;Mobilní telefony;Telefony, navigace | Mobilní telefony
83;Vysílaèky;Telefony, navigace | Vysílaèky
86;Gamepady;Elektronika | Herní zaøízení | Herní pøíslušenství | Herní ovladaèe | Gamepady
87;Herní konzole;Elektronika | Herní zaøízení | Herní konzole
89;Hry pro Nintendo Wii;Elektronika | Herní zaøízení | Hry | Hry pro Nintendo | Hry pro Nintendo Wii
90;Poèítaèové hry;Elektronika | Herní zaøízení | Hry | Poèítaèové hry
91;Hry pro PlayStation 2;Elektronika | Herní zaøízení | Hry | Hry pro PlayStation | Hry pro PlayStation 2
92;Hry pro PlayStation 3;Elektronika | Herní zaøízení | Hry | Hry pro PlayStation | Hry pro PlayStation 3
93;Hry pro PSP;Elektronika | Herní zaøízení | Hry | Hry pro PlayStation | Hry pro PSP
94;Hry pro Xbox 360;Elektronika | Herní zaøízení | Hry | Hry pro Xbox | Hry pro Xbox 360
95;Joysticky;Elektronika | Herní zaøízení | Herní pøíslušenství | Herní ovladaèe | Joysticky
96;Herní volanty;Elektronika | Herní zaøízení | Herní pøíslušenství | Herní ovladaèe | Herní volanty
99;KVM pøepínaèe;Poèítaèe | Poèítaèové pøíslušenství | KVM pøepínaèe
100;Napájecí kabely;Poèítaèe | Poèítaèové pøíslušenství | Kabely a konektory | Kabely | Napájecí kabely
101;Síové kabely;Poèítaèe | Poèítaèové pøíslušenství | Kabely a konektory | Kabely | Síové kabely
102;USB kabely;Poèítaèe | Poèítaèové pøíslušenství | Kabely a konektory | Kabely | USB kabely
103;Video kabely;Poèítaèe | Poèítaèové pøíslušenství | Kabely a konektory | Kabely | Video kabely
105;Klávesnice;Poèítaèe | Poèítaèové pøíslušenství | Klávesnice a myši | Klávesnice
106;Myši;Poèítaèe | Poèítaèové pøíslušenství | Klávesnice a myši | Myši
107;Sety klávesnic a myší;Poèítaèe | Poèítaèové pøíslušenství | Klávesnice a myši | Sety klávesnic a myší
108;Grafické tablety a pøíslušenství;Poèítaèe | Poèítaèové pøíslušenství | Klávesnice a myši | Grafické tablety a pøíslušenství
110;Monitory;Poèítaèe | Poèítaèové pøíslušenství | Monitory
111;Notebooky;Poèítaèe | Notebooky
113;Grafické karty;Poèítaèe | Poèítaèové komponenty | Grafické karty
115;Mechaniky;Poèítaèe | Poèítaèové komponenty | Mechaniky
116;Operaèní pamìti;Poèítaèe | Poèítaèové komponenty | Operaèní pamìti
117;PC skøínì;Poèítaèe | Poèítaèové komponenty | PC skøínì
119;Procesory;Poèítaèe | Poèítaèové komponenty | Procesory
121;Základní desky;Poèítaèe | Poèítaèové komponenty | Základní desky
122;Poèítaèové zdroje;Poèítaèe | Poèítaèové komponenty | Poèítaèové zdroje
123;Zvukové karty;Poèítaèe | Poèítaèové komponenty | Rozšiøující karty a huby | Zvukové karty
125;Èteèky pamìovıch karet;Poèítaèe | Ukládání dat | Pøíslušenství pro datové nosièe | Èteèky pamìovıch karet
126;Adaptéry k notebookùm;Poèítaèe | Pøíslušenství pro notebooky | Adaptéry k notebookùm
127;Brašny, batohy a pouzdra pro notebooky;Poèítaèe | Pøíslušenství pro notebooky | Brašny, batohy a pouzdra pro notebooky
128;USB flash disky;Poèítaèe | Ukládání dat | USB flash disky
130;Antiviry a ochrana dat;Poèítaèe | Software | Antiviry a ochrana dat
131;Grafickı a video software;Poèítaèe | Software | Grafickı a video software
132;Kanceláøské aplikace;Poèítaèe | Software | Kanceláøské aplikace
133;Operaèní systémy;Poèítaèe | Software | Operaèní systémy
134;Stolní poèítaèe;Poèítaèe | Stolní poèítaèe
136;Multifunkèní zaøízení;Poèítaèe | Poèítaèové pøíslušenství | Tiskárny a pøíslušenství | Multifunkèní zaøízení
137;Náplnì a tonery;Poèítaèe | Poèítaèové pøíslušenství | Tiskárny a pøíslušenství | Náplnì a tonery
138;Tiskárny;Poèítaèe | Poèítaèové pøíslušenství | Tiskárny a pøíslušenství | Tiskárny
139;Skenery;Poèítaèe | Poèítaèové pøíslušenství | Skenery
140;Webkamery;Poèítaèe | Poèítaèové pøíslušenství | Webkamery
144;Kalkulaèky;Kanceláø | Kanceláøská technika | Kalkulaèky
147;Laminátory;Kanceláø | Kanceláøská technika | Laminátory
149;Skartovaèky;Kanceláø | Kanceláøská technika | Skartovaèky
150;Tiskárny štítkù;Poèítaèe | Poèítaèové pøíslušenství | Tiskárny a pøíslušenství | Tiskárny štítkù
154;Kanceláøská lepidla;Kanceláø | Kanceláøské potøeby | Korekèní a lepicí prostøedky | Kanceláøská lepidla
155;Korekèní prostøedky;Kanceláø | Kanceláøské potøeby | Korekèní a lepicí prostøedky | Korekèní prostøedky
156;Lepicí pásky;Kanceláø | Kanceláøské potøeby | Korekèní a lepicí prostøedky | Lepicí pásky
157;Otvíraèe obálek;Kanceláø | Kanceláøské potøeby | Nùky a otvíraèe obálek | Otvíraèe obálek
159;Sešívaèky a rozešívaèky;Kanceláø | Kanceláøské potøeby | Archivace a organizace dokumentù | Sešívaèky a rozešívaèky
160;Dìrovaèky;Kanceláø | Kanceláøské potøeby | Archivace a organizace dokumentù | Dìrovaèky
163;Zvlhèovaèe vzduchu;Domácí spotøebièe | Vzduchotechnika | Zvlhèovaèe vzduchu
164;Domácí ventilátory;Domácí spotøebièe | Vzduchotechnika | Domácí ventilátory
165;Klimatizace;Domácí spotøebièe | Vzduchotechnika | Klimatizace
167;Teplovzdušné ventilátory;Domácí spotøebièe | Vzduchotechnika | Topidla | Teplovzdušné ventilátory
168;Pøímotopy;Domácí spotøebièe | Vzduchotechnika | Topidla | Pøímotopy
169;Olejové radiátory;Domácí spotøebièe | Vzduchotechnika | Topidla | Olejové radiátory
170;Záøièe;Domácí spotøebièe | Vzduchotechnika | Topidla | Záøièe
173;Domácí pekárny;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Domácí pekárny
174;Fritovací hrnce;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Fritovací hrnce
175;Kuchyòské grily;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Kuchyòské grily
176;Mlınky na kávu;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Pøíprava kávy | Mlınky na kávu
177;Kávovary a espressa;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Pøíprava kávy | Kávovary a espressa
178;Kuchyòské krájeèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Kuchyòské krájeèe
179;Kuchyòské mlınky;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Kuchyòské mlınky
180;Kuchyòské roboty;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Kuchyòské roboty
181;Kuchyòské váhy;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Kuchyòské váhy
182;Mixéry a šlehaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Mixéry a šlehaèe
183;Odšavòovaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Odšavòovaèe
184;Parní hrnce;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Parní hrnce
185;Rychlovarné konvice;Domácí spotøebièe | Kuchyòské spotøebièe | Pøíprava nápojù | Rychlovarné konvice
186;Sendvièovaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Sendvièovaèe
187;Sušièky potravin;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Sušièky potravin
188;Topinkovaèe;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Topinkovaèe
189;Vaøièe;Domácí spotøebièe | Kuchyòské spotøebièe | Vaøení | Vaøièe
190;Vırobníky zmrzliny;Domácí spotøebièe | Kuchyòské spotøebièe | Pomocníci do kuchynì | Vırobníky zmrzliny
